base,present,past,participle,adjective
antialias,antialiasing,antialiased,antialiased,antialiasable
antic,anticking,anticked,anticked,anticable
anticipate,anticipating,anticipated,anticipated,anticipateable
anticize,anticizing,anticized,anticized,anticizeable
anticorrelate,anticorrelating,anticorrelated,anticorrelated,anticorrelateable
anticross,anticrossing,anticrossed,anticrossed,anticrossable
antidote,antidoting,antidoted,antidoted,antidoteable
antifoul,antifouling,antifouled,antifouled,antifoulable
antioxidize,antioxidising,antioxidised,antioxidised,antioxidiseable
antioxidize,antioxidizing,antioxidized,antioxidized,antioxidizeable
antipathize,antipathising,antipathised,antipathised,antipathiseable
antipathize,antipathizing,antipathized,antipathized,antipathizeable
antiquarianize,antiquarianising,antiquarianised,antiquarianised,antiquarianiseable
antiquarianize,antiquarianizing,antiquarianized,antiquarianized,antiquarianizeable
antiquate,antiquating,antiquated,antiquated,antiquateable
antique,antiquing,antiqued,antiqued,antiqueable
antisepticize,antisepticising,antisepticised,antisepticised,antisepticiseable
antisepticize,antisepticizing,antisepticized,antisepticized,antisepticizeable
antisymmetrize,antisymmetrising,antisymmetrised,antisymmetrised,antisymmetriseable
antisymmetrize,antisymmetrizing,antisymmetrized,antisymmetrized,antisymmetrizeable
antiterminate,antiterminating,antiterminated,antiterminated,antiterminateable
antithesize,antithesising,antithesised,antithesised,antithesiseable
antithesize,antithesizing,antithesized,antithesized,antithesizeable
anxt,anxting,anxted,anxted,anxtible
apair,apairing,apaired,apaired,apairable
apay,apaying,apaid,apaid,apayable
ape,aping,aped,aped,apeable
aphetize,aphetizing,aphetized,aphetized,aphetizeable
aphorize,aphorising,aphorised,aphorised,aphoriseable
aphorize,aphorizing,aphorized,aphorized,aphorizeable
apocopate,apocopating,apocopated,apocopated,apocopateable
apodize,apodizing,apodized,apodized,apodizeable
apologize,apologising,apologised,apologised,apologiseable
apologize,apologizing,apologized,apologized,apologizeable
apostatize,apostatising,apostatised,apostatised,apostatiseable
apostatize,apostatizing,apostatized,apostatized,apostatizeable
apostemate,apostemating,apostemated,apostemated,apostemateable
apostille,apostilling,apostilled,apostilled,apostilleable
apostrophize,apostrophising,apostrophised,apostrophised,apostrophiseable
apostrophize,apostrophizing,apostrophized,apostrophized,apostrophizeable
apothegmatize,apothegmatizing,apothegmatized,apothegmatized,apothegmatizeable
apotheosize,apotheosising,apotheosised,apotheosised,apotheosiseable
apotheosize,apotheosizing,apotheosized,apotheosized,apotheosizeable
appair,appairing,appaired,appaired,appairable
appal,appalling,appalled,appalled,appalable
appall,appalling,appalled,appalled,appallable
apparate,apparating,apparated,apparated,apparateable
appeach,appeaching,appeached,appeached,appeachable
appeal,appealing,appealed,appealed,appealable
appeall,appealling,appealled,appealled,appeallable
appear,appearing,appeared,appeared,appearable
appease,appeasing,appeased,appeased,appeaseable
appel,appeling,appeled,appeled,appelable
append,appending,appended,appended,appendable
apperceive,apperceiving,apperceived,apperceived,apperceiveable
appertain,appertaining,appertained,appertained,appertainable
appetize,appetising,appetised,appetised,appetiseable
appetize,appetizing,appetized,appetized,appetizeable
applaud,applauding,applauded,applauded,applaudable
applicate,applicating,applicated,applicated,applicateable
applique,appliqueing,appliqued,appliqued,appliqueable
applot,applotting,applotted,applotted,applotable
apply,applying,applied,applied,applyable
appoint,appointing,appointed,appointed,appointable
apportion,apportioning,apportioned,apportioned,apportionable
appose,apposing,apposed,apposed,apposeable
appraize,appraising,appraised,appraised,appraiseable
appreciate,appreciating,appreciated,appreciated,appreciateable
apprecihate,apprecihating,apprecihated,apprecihated,apprecihateable
apprehend,apprehending,apprehended,apprehended,apprehendable
apprentice,apprenticing,apprenticed,apprenticed,apprenticeable
apprentize,apprentising,apprentised,apprentised,apprentiseable
appress,appressing,appressed,appressed,appressible
appretiate,appretiating,appretiated,appretiated,appretiateable
apprize,apprising,apprised,apprised,appriseable
apprize,apprizing,apprized,apprized,apprizeable
approach,approaching,approached,approached,approachable
approbate,approbating,approbated,approbated,approbateable
appropinquate,approprinquating,approprinquated,approprinquated,appropinquateable
approportionate,approportionating,approportionated,approportionated,approportionateable
appropriate,appropriating,appropriated,appropriated,appropriateable
approve,approving,approved,approved,approveable
apricate,apricating,apricated,apricated,apricateable
aquacize,aquacising,aquacised,aquacised,aquaciseable
aqualung,aqualunging,aqualunged,aqualunged,aqualungable
aquaplane,aquaplaning,aquaplaned,aquaplaned,aquaplaneable
aquascape,aquascaping,aquascaped,aquascaped,aquascapeable
aquatint,aquatinting,aquatinted,aquatinted,aquatintable
arace,aracing,araced,araced,araceable
arage,araging,araged,araged,arageable
araize,araising,araised,araised,araiseable
arbiter,arbitering,arbitered,arbitered,arbiterable
arbitrage,arbitraging,arbitraged,arbitraged,arbitrageable
arbitrate,arbitrating,arbitrated,arbitrated,arbitrateable
arboresce,arborescing,arboresced,arboresced,arboresceable
arborize,arborising,arborised,arborised,arboriseable
arborize,arborizing,arborized,arborized,arborizeable
arch,arching,arched,arched,archable
archaicize,archaicizing,archaicized,archaicized,archaicizeable
archaize,archaizing,archaized,archaized,archaizeable
archetype,archetyping,archetyped,archetyped,archetypeable
architect,architecting,architected,architected,architectable
archive,archiving,archived,archived,archiveable
arcticize,arcticizing,arcticized,arcticized,arcticizeable
arcweld,arcwelding,arcwelded,arcwelded,arcweldable
aread,areading,ared,ared,areadable
arear,arearing,areared,areared,arearable
arefy,arefying,arefied,arefied,arefyable
aret,aretting,aretted,aretted,aretable
argue,arguing,argued,argued,argueable
argufy,argufying,argufied,argufied,argufyable
argumentize,argumentizing,argumentized,argumentized,argumentizeable
aright,arighting,arighted,arighted,arightable
arize,arising,arose,arisen,ariseable
arize,arizing,aroze,arizen,arizeable
arm,arming,armed,armed,armable
armor,armoring,armored,armored,armorable
armor,armouring,armoured,armoured,armourable
aroint,arointing,arointed,arointed,arointable
aromatize,aromatising,aromatised,aromatised,aromatiseable
aromatize,aromatizing,aromatized,aromatized,aromatizeable
arouse,arousing,aroused,aroused,arouseable
aroynt,aroynting,aroynted,aroynted,aroyntable
arpeggiate,arpeggiating,arpeggiated,arpeggiated,arpeggiateable
arraign,arraigning,arraigned,arraigned,arraignable
arrange,arranging,arranged,arranged,arrangeable
array,arraying,arrayed,arrayed,arrayable
arread,arreading,arread,arread,arreadable
arrect,arrecting,arrected,arrected,arrectable
arrest,arresting,arrested,arrested,arrestable
arride,arriding,arrided,arrided,arrideable
arrive,arriving,arrived,arrived,arriveable
arrogate,arrogating,arrogated,arrogated,arrogateable
arrose,arrosing,arrosed,arrosed,arroseable
arrow,arrowing,arrowed,arrowed,arrowable
arse,arsing,arsed,arsed,arseable
arsenicate,arsenicating,arsenicated,arsenicated,arsenicateable
arsle,arsling,arsled,arsled,arsleable
arterialize,arterializing,arterialized,arterialized,arterializeable
article,articling,articled,articled,articleable
articulate,articulating,articulated,articulated,articulateable
artificialize,artificializing,artificialized,artificialized,artificializeable
artuate,artuating,artuated,artuated,artuateable
arylate,arylating,arylated,arylated,arylateable
ascend,ascending,ascended,ascended,ascendable
ascerbate,ascerbating,ascerbated,ascerbated,ascerbateable
ascertain,ascertaining,ascertained,ascertained,ascertainable
ascribe,ascribing,ascribed,ascribed,ascribeable
asepticize,asepticizing,asepticized,asepticized,asepticizeable
asexualize,asexualising,asexualised,asexualised,asexualiseable
asexualize,asexualizing,asexualized,asexualized,asexualizeable
ash,ashing,ashed,ashed,ashable
ashame,ashaming,ashamed,ashamed,ashameable
ask,asking,asked,asked,askable
aske,asking,asked,asked,askeable
aslake,aslaking,aslaked,aslaked,aslakeable
asperate,asperating,asperated,asperated,asperateable
asperse,aspersing,aspersed,aspersed,asperseable
asphalt,asphalting,asphalted,asphalted,asphaltable
asphyxiate,asphyxiating,asphyxiated,asphyxiated,asphyxiateable
aspirate,aspirating,aspirated,aspirated,aspirateable
aspire,aspiring,aspired,aspired,aspireable
asplode,asploding,asploded,asploded,asplodeable
assail,assailing,assailed,assailed,assailable
assaile,assailing,assailed,assailed,assaileable
assain,assaining,assained,assained,assainable
assart,assarting,assarted,assarted,assartable
assassin,assassining,assassined,assassined,assassinable
assassinate,assassinating,assassinated,assassinated,assassinateable
assault,assaulting,assaulted,assaulted,assaultable
assay,assaying,assayed,assayed,assayable
assecure,assecuring,assecured,assecured,assecureable
assegai,assegaiing,assegaied,assegaied,assegaiible
assemble,assembling,assembled,assembled,assembleable
assent,assenting,assented,assented,assentable
assert,asserting,asserted,asserted,assertable
assess,assessing,assessed,assessed,assessable
assever,assevering,assevered,assevered,asseverable
asseverate,asseverating,asseverated,asseverated,asseverateable
assfuck,assfucking,assfucked,assfucked,assfuckable
asshure,asshuring,asshured,asshured,asshureable
assibilate,assibilating,assibilated,assibilated,assibilateable
assiege,assieging,assieged,assieged,assiegeable
assign,assigning,assigned,assigned,assignable
assimilate,assimilating,assimilated,assimilated,assimilateable
assimulate,assimulating,assimulated,assimulated,assimulateable
assist,assisting,assisted,assisted,assistable
assle,assling,assled,assled,assleable
associate,associating,associated,associated,associateable
assoil,assoiling,assoiled,assoiled,assoilable
assonate,assonating,assonated,assonated,assonateable
assort,assorting,assorted,assorted,assortable
assot,assotting,assotted,assotted,assotable
assoyle,assoyling,assoyled,assoyled,assoyleable
assplant,assplanting,assplanted,assplanted,assplantable
assrun,assrunning,assran,assran,assrunable
assuage,assuaging,assuaged,assuaged,assuageable
assubjugate,assubjugating,assubjugated,assubjugated,assubjugateable
assume,assuming,assumed,assumed,assumeable
assumpt,assumpting,assumpted,assumpted,assumptible
assure,assuring,assured,assured,assureable
asswage,asswaging,asswaged,asswaged,asswageable
astand,astanding,astood,astood,astandable
astart,astarting,astarted,astarted,astartable
asterisk,asterisking,asterisked,asterisked,asteriskable
astipulate,astipulating,astipulated,astipulated,astipulateable
astonish,astonishing,astonished,astonished,astonishable
astony,astonying,astonied,astonied,astonyable
astound,astounding,astounded,astounded,astoundable
astrict,astricting,astricted,astricted,astrictable
astringe,astringing,astringed,astringed,astringeable
astrogate,astrogating,astrogated,astrogated,astrogateable
astrologize,astrologizing,astrologized,astrologized,astrologizeable
astronomize,astronomizing,astronomized,astronomized,astronomizeable
astroturf,astroturfing,astroturfed,astroturfed,astroturfable
asymptote,asymptoting,asymptoted,asymptoted,asymptoteable
atchieve,atchieving,atchieved,atchieved,atchieveable
atend,atending,atended,atended,atendable
atene,atening,atened,atened,ateneable
atgo,atgoing,atwent,atgone,atgoable
atheize,atheising,atheised,atheised,atheiseable
atheize,atheizing,atheized,atheized,atheizeable
athetize,athetizing,athetized,athetized,athetizeable
atomize,atomising,atomised,atomised,atomiseable
atomize,atomizing,atomized,atomized,atomizeable
atone,atoning,atoned,atoned,atoneable
atray,atraying,atrayed,atrayed,atrayable
atren,atrenning,atrenned,atrenned,atrenable
atride,atriding,atrode,atridden,atrideable
atrin,atrinning,atran,atrun,atrinable
atrist,atristing,atristed,atristed,atristable
atroke,atroking,atroked,atroked,atrokeable
atrophy,atrophying,atrophied,atrophied,atrophyable
atrout,atrouting,atrouted,atrouted,atroutable
atsake,atsaking,atsook,atsaken,atsakeable
atscape,atscaping,atscaped,atscaped,atscapeable
atshake,atshaking,atshook,atshaken,atshakeable
atshoot,atshooting,atshot,atshot,atshootable
atslike,atsliking,atsliked,atsliked,atslikeable
atspring,atspringing,atsprang,atsprung,atspringable
atstand,atstanding,atstood,atstood,atstandable
atstert,atsterts,atsterted,atsterted,atstertible
atstunt,atstunting,atstunted,atstunted,atstuntable
atstut,atstutting,atstutted,atstutted,atstutable
attach,attaching,attached,attached,attachable
attack,attacking,attacked,attacked,attackable
attain,attaining,attained,attained,attainable
attaint,attainting,attainted,attainted,attaintable
attame,attaming,attamed,attamed,attameable
attaminate,attaminating,attaminated,attaminated,attaminateable
attask,attasking,attasked,attasked,attaskable
attaste,attasting,attasted,attasted,attasteable
attemper,attempering,attempered,attempered,attemperable
attemperate,attemperating,attemperated,attemperated,attemperateable
attempre,attempring,attempred,attempred,attempreable
attempt,attempting,attempted,attempted,attemptable
attend,attending,attended,attended,attendable
